Gene,Sample,Mean,SD,CV,Range
aag,M1,8222.458544839255,22.77006413978155,0.002769252531418715,79
aag,M2,8991.502538071067,13.122095881639408,0.0014593885533679082,55
aag,M3,8812.165820642978,24.519302309072923,0.0027824376899076415,81
aag,Y1,8378.42470389171,12.88228315136072,0.0015375543263373849,56
aag,Y2,8921.030456852792,7.186316066281185,0.0008055477560622982,29
aag,Y3,9163.468697123519,8.867305296136477,0.000967679989884179,37
abbA,M1,3179.3333333333335,704.1033034498091,0.2214625613702482,2603
abbA,M2,4901.580808080808,1096.927518456234,0.22379056092430946,4199
abbA,M3,2988.060606060606,697.0888460249688,0.23329140132267784,2615
abbA,Y1,5990.833333333333,1171.475271690675,0.19554462735134373,4600
abbA,Y2,6033.262626262626,1368.0561858460517,0.2267523014647068,5417
abbA,Y3,6201.949494949495,1436.9372595181817,0.23169122236295853,5611
abrB,M1,8821.38144329897,27.494868473816414,0.003116843847026078,102
abrB,M2,8774.876288659794,28.768969537462105,0.00327856126868041,105
abrB,M3,8920.006872852233,24.1010792614467,0.0027019126335874914,89
abrB,Y1,9239.295532646049,29.5147294725193,0.0031944783417991343,106
abrB,Y2,9035.378006872852,28.520435459024227,0.003156529304842572,102
abrB,Y3,8959.501718213058,27.69730157035055,0.003091388610824965,103
accA,M1,4175.556237218814,1026.3221142993311,0.24579290901442316,4498
accA,M2,7834.912065439673,337.2018648886276,0.043038372616337056,2435
accA,M3,4875.173824130879,992.412152123601,0.20356446517074148,4099
accA,Y1,8007.5746421267895,21.379139507104146,0.0026698645298454445,196
accA,Y2,7816.441717791411,278.83860829493983,0.03567334323753233,1765
accA,Y3,7383.201431492843,508.61388825562517,0.06888798754509752,2451
accD,M1,4989.938144329897,601.1732838960874,0.1204771014204264,2301
accD,M2,7883.109965635739,149.8270235179899,0.019006080616802225,684
accD,M3,5776.501718213059,652.9351533681772,0.11303297137599753,2676
accD,Y1,8002.799541809851,12.195554904261169,0.0015239110814342749,135
accD,Y2,7931.363115693012,88.43753232777517,0.011150357263657804,492
accD,Y3,7854.789232531501,147.31047230560748,0.01875422343549391,634
adhB,M1,2278.5910290237466,33.46535980345475,0.014686865425689337,140
adhB,M2,3600.5444151275287,29.381446056838282,0.008160278743790364,129
adhB,M3,3769.268249780123,65.10621862821029,0.017272906652904898,276
adhB,Y1,8429.33421284081,2.476829086630166,0.0002938344861041449,16
adhB,Y2,6888.453825857519,194.70639648614798,0.028265616843546115,823
adhB,Y3,5952.399296394019,153.84504024490099,0.0258458871094385,660
arsB,M1,3447.589817483189,212.4127871985287,0.06161196616875796,858
arsB,M2,5460.90297790586,271.71538984323655,0.04975649465712237,1165
arsB,M3,4879.4409221902015,91.38702891840485,0.018728995877950825,387
arsB,Y1,8483.401536983669,5.390711165159841,0.000635442179844825,25
arsB,Y2,9192.777137367915,3.5548309314655486,0.0003866982608569331,19
arsB,Y3,7120.889529298751,144.7734646049494,0.020330811762952088,648
arsC,M1,2957.2214285714285,189.92744756680932,0.06422496662975936,819
arsC,M2,5659.657142857143,801.2957356154125,0.14158026102812607,3098
arsC,M3,4732.4595238095235,204.64747214801997,0.04324336449544176,810
arsC,Y1,8454.978571428572,28.295441292800383,0.003346601183404244,109
arsC,Y2,9173.169047619047,30.227735356308067,0.0032952336536470855,118
arsC,Y3,7051.302380952381,376.2777011032404,0.053362865577808144,1446
arsR,M1,2548.012578616352,53.066173488617814,0.020826495887015736,205
arsR,M2,3977.0440251572327,71.4666846485957,0.01796979972978053,293
arsR,M3,4329.154088050314,37.452112417860306,0.008651138688095833,140
arsR,Y1,8400.408805031446,22.08164198521317,0.002628638974330311,77
arsR,Y2,9103.808176100629,18.369953758224348,0.002017831813114127,67
arsR,Y3,6176.7893081761,51.353014761276874,0.008313868613472351,202
asd,M1,1698.7281460134486,416.59504186795516,0.24523938267910292,1689
asd,M2,2248.3852065321807,260.66840218240395,0.11593582871168613,1429
asd,M3,1911.821325648415,334.5913534657018,0.17501183242226964,1257
asd,Y1,2835.7521613832855,736.1817005395246,0.2596072077682606,2849
asd,Y2,2803.133525456292,433.77002773532143,0.15474468975383993,2199
asd,Y3,2331.1258405379444,248.85768738781042,0.10675429145017008,1276
bdbC,M1,8440.513189448442,39.51065391430086,0.0046810724688746965,131
bdbC,M2,9849.465227817745,37.120378040551465,0.0037687709111061942,129
bdbC,M3,8769.19184652278,38.8085368123413,0.004425554542717631,133
bdbC,Y1,8944.052757793765,36.300456904326,0.004058613906620141,123
bdbC,Y2,8204.338129496404,39.13497733869917,0.004770034672023122,133
bdbC,Y3,8194.0551558753,37.88360626436497,0.0046233037908222615,131
bdbD,M1,8453.461883408072,19.572079206650884,0.0023152738459808688,84
bdbD,M2,9864.264573991031,10.166736474616258,0.0010306634010428665,54
bdbD,M3,8793.405082212257,13.357656236049667,0.0015190538944998915,68
bdbD,Y1,8955.174887892377,17.887645776681286,0.0019974647062298958,95
bdbD,Y2,8216.270553064274,16.519088481950217,0.0020105336569995725,82
bdbD,Y3,8204.905829596413,16.174250774630018,0.0019712902391014527,85
bofC,M1,3104.3216374269005,442.2324092252722,0.1424570198827169,1930
bofC,M2,4836.421052631579,435.88495886921936,0.09012551928911296,1982
bofC,M3,4282.830409356725,644.0813441045043,0.15038684293858004,2810
bofC,Y1,8687.28849902534,21.195578389147283,0.0024398382063085962,73
bofC,Y2,7043.0,800.4795730529294,0.11365605183202178,3327
bofC,Y3,7166.879142300195,892.981092441849,0.12459831883745826,3237
ccpB,M1,165.8653846153846,30.57465726388089,0.18433416553296306,139
ccpB,M2,265.84081196581195,28.791770975706697,0.10830455550748701,131
ccpB,M3,154.70726495726495,28.95361938525464,0.1871510002665521,130
ccpB,Y1,1308.6314102564102,39.56033551463436,0.030230311762792703,181
ccpB,Y2,1460.6463675213674,32.95269576095378,0.0225603517002357,150
ccpB,Y3,709.5042735042736,25.126120011878445,0.03541362744410179,135
ccpC,M1,1352.6780045351475,225.28126083854244,0.1665446322652087,942
ccpC,M2,2149.2766439909296,279.6979043644482,0.1301358320467696,1301
ccpC,M3,1273.2426303854875,248.8955765638028,0.19548165496818706,1077
ccpC,Y1,3413.5204081632655,655.7718123281154,0.19211011914851,2823
ccpC,Y2,2741.421768707483,640.7968003008983,0.2337461559601678,2798
ccpC,Y3,3058.4603174603176,622.6856638741981,0.20359448848146686,2776
cdaS,M1,765.3798076923077,21.509525516022784,0.028103074185973145,108
cdaS,M2,2065.3653846153848,34.99219569737547,0.016942375406321514,166
cdaS,M3,2145.144230769231,35.051647727262385,0.01633999580284313,162
cdaS,Y1,1807.488782051282,157.2605873377509,0.08700501430458621,707
cdaS,Y2,1741.8798076923076,112.83839767424068,0.0647796691688689,502
cdaS,Y3,1604.1201923076924,82.29296202007068,0.05130099503434575,426
cgeA,M1,716.8009950248756,8.619423579790908,0.012024848792923037,51
cgeA,M2,1698.910447761194,10.935628485486145,0.006436848098672298,47
cgeA,M3,2072.8756218905473,14.584330495306515,0.0070357962346071735,53
cgeA,Y1,1604.3756218905473,31.960866076116897,0.019921061900987493,134
cgeA,Y2,1424.5124378109454,23.213228117353527,0.016295560151812643,125
cgeA,Y3,1392.5099502487562,17.924645553036953,0.012872184898811615,82
cgeB,M1,718.8972746331237,28.507025567925773,0.03965382339566361,105
cgeB,M2,1695.137316561845,35.31645294201351,0.02083397763530093,132
cgeB,M3,2089.1750524109016,48.37252442071333,0.02315388763851626,152
cgeB,Y1,1604.314465408805,102.07431844093233,0.0636248819304401,343
cgeB,Y2,1407.801886792453,86.29662574217225,0.06129884222473318,260
cgeB,Y3,1419.91928721174,86.85885346408135,0.06117168366283967,299
cgeC,M1,741.0457516339869,23.770029309355515,0.03207633166635556,80
cgeC,M2,1738.7254901960785,35.00720961700255,0.020133833554746322,124
cgeC,M3,2139.3954248366013,40.35486659236745,0.018862743242264154,144
cgeC,Y1,1688.6078431372548,84.09079677478348,0.04979889032053273,336
cgeC,Y2,1452.5359477124182,55.1185935893037,0.03794645748775397,234
cgeC,Y3,1488.4640522875818,82.63254835588347,0.05551531340571353,290
cgeD,M1,1295.6455893832942,431.78384267476287,0.3332576795790929,1773
cgeD,M2,2402.711943793911,451.63318452594564,0.18796809400831105,1694
cgeD,M3,2532.696330991413,340.26916605731464,0.13435055829378398,1473
cgeD,Y1,2363.910226385636,451.73817489022537,0.1910978555141337,2251
cgeD,Y2,2040.7697111631537,299.67789878362674,0.1468455245804402,1507
cgeD,Y3,2152.9726775956283,314.69374999219957,0.14616708946982068,1420
cgeE,M1,1233.8153846153846,160.15568250452793,0.1298052241052684,597
cgeE,M2,2785.9397435897436,173.34306427029185,0.062220679635710846,786
cgeE,M3,2436.5705128205127,103.99621747956799,0.04268139047582275,383
cgeE,Y1,2038.1935897435897,160.67863048702054,0.07883384154261537,588
cgeE,Y2,1905.3705128205129,119.59378143056266,0.06276668008970519,478
cgeE,Y3,1961.1051282051283,103.77141970446552,0.05291476637942441,485
chaA,M1,3428.869318181818,98.53243489318723,0.02873613012041962,307
chaA,M2,3745.2982954545455,90.81634525685422,0.024248094034879097,285
chaA,M3,2560.182765151515,148.95217504787772,0.05818028973375365,449
chaA,Y1,8147.054924242424,31.467621430252205,0.003862453576520881,94
chaA,Y2,1576.4791666666667,327.7406348565538,0.2078940475626671,946
chaA,Y3,2858.211174242424,233.5135339312186,0.08169918865183638,744
cheA,M1,1171.4249628528976,93.28071645508912,0.079630125200604,391
cheA,M2,1472.6934125804853,113.38538443102148,0.0769918460029947,498
cheA,M3,464.21000495294703,64.79826496647871,0.13958825590811372,251
cheA,Y1,1252.282813273898,123.49384273745686,0.09861497852438099,473
cheA,Y2,1253.4606240713224,83.15650766419121,0.06634153962818028,405
cheA,Y3,1748.2734026745914,143.79863736451327,0.08225180177455271,535
cheB,M1,1185.4990689013036,127.41619140926407,0.10747894684333308,514
cheB,M2,1525.8314711359403,197.26404144408878,0.1292829812307063,703
cheB,M3,452.1852886405959,53.812990594464864,0.11900650451553343,174
cheB,Y1,1102.6340782122904,36.80754198538654,0.03338146599374373,161
cheB,Y2,1160.7718808193667,43.48813842200757,0.03746484485074718,169
cheB,Y3,1577.731843575419,46.75610182355947,0.02963501181392263,211
cheC,M1,1354.3269841269841,124.49879575764211,0.09192668920932383,439
cheC,M2,1642.9460317460318,85.786274200152,0.052214906967445,347
cheC,M3,559.6825396825396,40.71586191724012,0.07274813672110401,171
cheC,Y1,1298.2825396825397,60.6704421966566,0.04673130874231116,268
cheC,Y2,1262.0285714285715,32.4926672836922,0.025746380089407685,137
cheC,Y3,1729.847619047619,38.558348233390326,0.02229002590102065,168
cheD,M1,1239.508982035928,112.55909745179052,0.09080942460530546,354
cheD,M2,1521.2574850299402,62.42085844381087,0.04103240842399691,210
cheD,M3,441.7784431137725,35.20887408553783,0.07969803559760924,115
cheD,Y1,1164.3273453093811,70.83488286669586,0.060837601343008786,232
cheD,Y2,1223.0359281437127,58.354765928643964,0.04771304308060114,190
